"School.Name","County","LocaleType","Student.Teacher.Ratio","Free.Lunch"
"10th Street School","Snohomish","Suburb",23.4,28
"49th Street Academy","Clark","City",8.4,53
"A G West Black Hills High School","Thurston","City",21.5,169
"A J West Elementary","Grays Harbor","Town",15.9,292
"A-3 Multiagency Adolescent Prog","Spokane","City",6.5,12
"Abraham Lincoln Elementary","Chelan","City",15.3,411
"Acceleration Academy","Pierce","Suburb",NA,48
"ACES High School","Snohomish","City",16.3,102
"Acme Elementary","Whatcom","Rural",15.7,101
"Adams Elementary","Yakima","Rural",15.6,268
"Adams Elementary","Spokane","City",14.8,191
"Adams Elementary","Spokane","City",16.9,180
"Adams Elementary School","Yakima","City",17.6,687
"Adams Elementary School","King","City",18.1,65
"Adelaide Elementary School","King","Suburb",15.5,237
"Adna Elementary School","Lewis","Rural",16.6,67
"Adna Middle/High School","Lewis","Rural",19.6,86
"Ahtanum Valley Elementary","Yakima","Rural",13,118
"AIM High School","Snohomish","Suburb",32.9,50
"Aki Kurose Middle School","King","City",17.7,429
"Albert Einstein Middle School","King","Suburb",20.6,147
"Alcott Elementary","King","Suburb",20.4,27
"Alderwood Elementary School","Whatcom","Suburb",13.2,197
"Alderwood Middle School","Snohomish","Suburb",19.3,286
"Alfaretta House","Pierce","City",NA,9
"Alki Elementary School","King","City",19.6,46
"Alki Middle School","Clark","Suburb",20.4,148
"Allen Creek Elementary School","Snohomish","Suburb",18.4,148
"Allen Elementary","Skagit","Rural",15.1,315
"Almira Coulee Hartline High School","Grant","Rural",11.6,19
"Almira Elementary School","Lincoln","Rural",11.5,27
"Alpac Elementary School","King","Suburb",17.3,276
"Alternative Education Program","Walla Walla","City",NA,36
"Alternative Northeast Community Center Preschool","Spokane","City",24,17
"Alternative School","Okanogan","Rural",10,8
"Alternative Spcl Needs Div Occ","Pierce","City",NA,0
"Alternative Tamarack School","Spokane","City",NA,NA
"Amboy Middle School","Clark","Rural",16,141
"American Academy","Yakima","Rural",NA,0
"Amistad Elementary School","Benton","City",16.7,498
"Anacortes High School","Skagit","Town",21.8,162
"Anacortes Middle School","Skagit","Town",22.3,121
"Anderson Island Elementary","Pierce","Rural",19,17
"Angelo Giaudrone Middle School","Pierce","City",17.9,425
"Apollo Elementary","King","Suburb",17.4,82
"Apple Valley Elementary","Yakima","City",16.7,85
"Arbor Heights Elementary School","King","City",16.7,82
"Arcadia Elementary","Spokane","Rural",15.3,224
"Ardmore Elementary School","King","City",16.2,126
"Arlington","Pierce","City",13.6,205
"Arlington Elementary","Spokane","City",15.7,387
"Arlington High School","Snohomish","Suburb",22.8,370
"Arlington Open Doors",NA,NA,NA,NA
"Arlington Special Educ School","Snohomish","Suburb",NA,10
"Armin Jahr Elementary","Kitsap","City",15.3,302
"Arrowhead Elementary","King","Suburb",17.8,52
"Arthur Jacobsen Elementary","King","City",20.3,241
"Artondale Elementary School","Pierce","Suburb",16.1,59
"Artz Fox Elementary","Yakima","Rural",17.8,493
"Asotin Elementary","Asotin","Suburb",10.3,80
"Asotin Jr Sr High","Asotin","Suburb",34.7,83
"Aspire Middle School","Thurston","Suburb",22.6,59
